RequestId,RequestCategory,Location,RequestType,PriorityLevel,LeadVolunteerNeeded,ForSelfOrOthers,IsCalamity,Subject,Description,LanguagePreferred,RequestorId,Status,Duration,AssignedVolunteer,REQ_ID
4b88711d-1cce-4d19-b33c-985e9b8260ca,Food and Essentials,"83875 Jacob Falls, West Melissastad, AL 42550",InPerson,Medium,Yes,Self,Yes,Help needed with meal delivery,Volunteers required to distribute food kits to 20 families.,Hindi,8cd4c92d-95b8-407d-9fe6-2a35982a1545,Completed,22,,
552a40d6-0930-4476-8d7f-2fa8dc5577a6,Housing,"64153 Renee Roads Apt. 475, Whitneyfort, IA 12686",Remote,High,No,Others,Yes,Support needed for shifting,Volunteers needed for packing and moving household items.,Bengali,e5047086-d31d-4449-b350-f418a199f9b8,Assigned,2,,
cc5ceb1d-7ea4-477f-acb6-9fac765c3b75,Housing,"64494 Lopez Plaza, Lake Michelle, MS 73352",Remote,Low,No,Self,No,Temporary shelter assistance,Family needs help fixing plumbing and electrical issues.,Hindi,6bd1b8cd-8205-4c9e-a674-be05ec7b6a1e,Completed,26,,
87c203b2-41e6-45b4-8927-9eb3fb2db1b1,Food and Essentials,"324 Kim Mountains, Amyview, MH 78739",InPerson,Low,Yes,Others,No,Essential supplies required,Essential food supplies needed for a financially distressed family.,Hindi,93930bf4-675c-4241-8ad0-d516ab07d4b4,Open,27,,
30941a49-5090-4659-9a10-2362a86d206a,Housing,"76541 Vincent Summit Suite 540, West Donna, GU 98346",InPerson,Low,Yes,Others,No,Help with minor home repairs,Family needs help fixing plumbing and electrical issues.,Telugu,1b08897d-c373-424e-a357-f26d769476c9,Completed,28,,
c53e53ff-0561-4668-87d0-230294b59e01,Elderly Support,"PSC 9195, Box 6845, APO AE 93046",Remote,High,No,Self,No,Medication reminder support needed,An elderly resident needs weekly help with groceries.,Tamil,addee475-87e7-4781-a7a5-085dcbd61374,Assigned,18,,
ab2be1cf-e1fe-4d51-b5c0-dfec3661ba67,Food and Essentials,"934 Lopez Knolls Suite 579, Lake Christopher, WI 58137",InPerson,Low,No,Self,No,Help needed with meal delivery,Essential food supplies needed for a financially distressed family.,Telugu,bfcc59c2-6dc1-408a-9b29-d276550d1674,Completed,6,,
2fb83145-1eb5-492c-927b-6374d9c1cb56,Housing,"03049 Medina Fort, Smithfurt, MI 81180",Remote,Low,Yes,Self,Yes,Support needed for shifting,Volunteers needed for packing and moving household items.,English,48008b11-f960-413e-aa81-246c62e6efd5,Completed,23,,
6f0ae460-b906-4a27-9b59-45add811a355,Food and Essentials,"5675 Maria Way, Lesliefort, DE 70102",InPerson,Medium,No,Others,Yes,Support with distributing food kits,A family needs cooked meals delivered daily for two weeks.,Hindi,4327a8ad-c9dc-4e7c-949e-d513f39a0be8,Open,25,,
82c0ef6f-014d-4b6b-847d-3b1d28d52241,Food and Essentials,"984 Raymond Track Apt. 458, North Jacquelineshire, CO 10491",Remote,High,No,Self,Yes,Help needed with meal delivery,Essential food supplies needed for a financially distressed family.,Telugu,f609a07e-efe6-4e57-9ea8-0f54f94ffee9,Open,25,,
5d3dca6a-ead0-4b25-a9d3-2c3e6f3d8631,Healthcare and Wellbeing,"USNV Brown, FPO AA 33855",Remote,Medium,No,Self,Yes,Help required for basic wound dressing,Individual needs help performing daily physiotherapy exercises.,Hindi,5d50ea03-32be-4dc8-b334-6b86c6dd2f5f,Completed,26,,
62d39749-a626-46a8-a4c0-a4143618e2d2,Elderly Support,"2929 Tanya Square Apt. 177, North Brett, MD 84363",InPerson,Medium,No,Others,No,Companion for elderly person,A senior citizen is looking for someone to talk with daily.,Bengali,8e1162c3-5057-47a7-8d66-b18958c8bb70,Open,4,,
e1c06018-22d7-4b92-a33c-179d1c686f93,Clothing Support,"26804 Hernandez Parkway, Port Jasonport, NY 70457",Remote,High,No,Others,No,Requesting blankets and jackets,Looking for volunteers to sort and distribute donated clothes at the community center.,English,0e6e5323-ef2b-4f46-b7dd-65ac33a6aec2,Assigned,14,,
d90975cb-2860-4532-8f3b-121fc45613ce,Healthcare and Wellbeing,"717 Angela Grove Apt. 087, North Andrew, WV 93208",InPerson,Medium,Yes,Self,No,Medical appointment assistance,Request for someone to assist with basic wound dressing.,Spanish,f81816fb-de38-4b6e-8f3e-3c8641f50f63,Assigned,11,,
3a4429d4-f858-4263-be29-781812739ac7,Housing,"177 Greg Heights Suite 540, North Laura, VI 87885",Remote,Low,Yes,Others,Yes,Support needed for shifting,Person needs temporary shelter after losing housing.,Bengali,cd8ec481-f275-4fed-8340-3abd71c42724,Completed,13,,
b1a41556-cd60-4660-a030-c3273a9cea35,Education and Career Support,"5554 Hawkins Throughway, Ellisfurt, ME 64259",Remote,Low,No,Others,No,Help with resume and job search,Looking for a mentor to guide a student with college applications.,Hindi,744a694c-5ccc-4903-ab16-5a1d282f139c,Assigned,26,,
bea491c7-571e-4b4b-822c-8c8061acda50,Education and Career Support,"7472 Mark Throughway, Lindseyborough, IL 89729",Remote,Low,No,Others,Yes,Mentor required for college application,Looking for a mentor to guide a student with college applications.,Hindi,474c61e9-1bcb-4b4a-b66b-5a999a9aa012,Completed,6,,
017eac0d-ddee-4b9d-988c-553ee414e416,Elderly Support,"USCGC Sullivan, FPO AP 98590",Remote,High,No,Self,Yes,Assistance needed for grocery shopping,An elderly resident needs weekly help with groceries.,Hindi,34ecc8d3-85d3-41cc-aca6-ecde5eaf3661,Completed,3,,
1f6b016f-71c5-4b6e-b869-dc030334a18d,Food and Essentials,"361 Underwood Inlet, North Ericstad, IN 27242",InPerson,Low,No,Others,Yes,Help needed with meal delivery,Volunteers required to distribute food kits to 20 families.,Spanish,ba455456-fbbf-4ee1-9278-c64a4012bf7e,Assigned,23,,
fc40590c-8729-4ca0-b306-8a8e34f28cad,Housing,"645 Walsh Isle Apt. 639, Sarahview, MS 98993",Remote,High,No,Self,No,Temporary shelter assistance,Family needs help fixing plumbing and electrical issues.,Hindi,da5af0b0-78d8-4de0-b2d1-72f233fbe465,Completed,17,,
bf3c628c-300f-4c4d-a5fb-8492ac6b467e,Food and Essentials,"85664 Michael Plaza, East Jessicaton, AZ 06869",InPerson,Medium,Yes,Others,Yes,Support with distributing food kits,Volunteers required to distribute food kits to 20 families.,Telugu,89172d75-b60d-408d-a6e0-86397b2a884d,Assigned,12,,
82ff94df-626c-4bda-aa7a-f32b46ee4350,Housing,"36255 Pratt Rapid, Reynoldsbury, AS 29519",InPerson,Medium,No,Self,Yes,Temporary shelter assistance,Volunteers needed for packing and moving household items.,Telugu,5c7d4f75-a20e-4376-bbb4-263d7028626f,Open,15,,
8839e08d-210a-4d5f-a2f3-8c91114dcad0,Education and Career Support,"78658 Brandon Parks, Port Markshire, MA 90773",Remote,High,No,Self,No,Help with resume and job search,Student needs academic support in math and science for weekly sessions.,Spanish,2e2efd4f-c88f-4d91-adc2-01b0d28bd460,Completed,15,,
e7a20045-ee29-4bf6-9b13-7d71614464c4,Healthcare and Wellbeing,"402 Eugene Spur, West Joseville, MD 75181",InPerson,High,No,Self,No,Support needed for physiotherapy exercises,Volunteer needed to accompany a patient to a medical appointment.,English,8f2bbb89-6be2-47b0-8031-cd2965d8a58e,Open,20,,
1f7f4d34-1856-4756-ab85-0c3d9fce7e11,Education and Career Support,"USCGC Lee, FPO AP 26071",Remote,High,No,Others,No,Help with resume and job search,Looking for a mentor to guide a student with college applications.,Hindi,b8fdc1fa-9885-433a-99d9-1eeca137c9cc,Completed,4,,
d7f1c047-2686-4019-9b21-36e7ec4e42b8,Housing,"8584 Sara Mall Suite 571, South Tiffany, ID 70976",Remote,High,Yes,Others,Yes,Temporary shelter assistance,Family needs help fixing plumbing and electrical issues.,English,fc3d03bd-27ad-4ed3-a86d-6406d5bf2a17,Open,15,,
fea5fcda-6ce6-4d0a-abbf-3da033fd4208,Food and Essentials,"090 Brittany Common, Cathyside, ND 62406",InPerson,High,Yes,Others,Yes,Essential supplies required,Volunteers required to distribute food kits to 20 families.,Hindi,e918fad3-ebac-4d85-ac7a-079b616c104a,Assigned,10,,
1ad5abf0-6930-46ae-b88a-e3344f6796e5,Healthcare and Wellbeing,"15830 Alejandra Skyway, Lake Isaiahfort, WY 05986",InPerson,High,No,Self,Yes,Medical appointment assistance,Request for someone to assist with basic wound dressing.,Telugu,54421e7d-bd4b-4283-bfc5-68b19586f05c,Completed,28,,
f32c9b52-88fb-45ae-81df-d493f81bf1f8,Clothing Support,"39814 Timothy Cliffs, New Jack, NH 25549",Remote,High,No,Others,Yes,Need winter clothing for family,A low-income family needs warm clothing for two adults and one child.,Telugu,4fa75ade-ac57-4711-b69b-777b7fbc8835,Open,17,,
d707a53f-2c51-4cde-be74-0733cd75f96c,Elderly Support,"USNV Mcconnell, FPO AP 17553",Remote,Low,Yes,Others,No,Medication reminder support needed,An elderly resident needs weekly help with groceries.,Telugu,1db2001c-392d-4ca6-b654-8b31ae672ab1,Assigned,11,,
accef052-e25b-40ca-b57d-3d5c34e9e68a,Elderly Support,"91261 Moreno Field, Ashleyborough, NY 05373",Remote,High,Yes,Self,No,Assistance needed for grocery shopping,Family needs a volunteer to remind an elderly person about medications.,Hindi,5adce393-4f6c-4b32-8e00-a52db5f006ba,Assigned,22,,
f987ddcb-576b-4325-a072-4d9a740a4b44,Healthcare and Wellbeing,"780 Tiffany Plain, East Jimmychester, IA 86639",Remote,High,Yes,Self,Yes,Help required for basic wound dressing,Request for someone to assist with basic wound dressing.,English,853d7078-c9c9-4a9e-a2a5-89a51d049b96,Open,16,,
8e88a5a7-d99f-449a-8936-db53d8677645,Healthcare and Wellbeing,"4828 Brianna Meadows, New Phillipbury, CO 17586",InPerson,Medium,No,Others,No,Support needed for physiotherapy exercises,Request for someone to assist with basic wound dressing.,Hindi,3dc7a708-1469-457c-8af2-f0ca40d71ecd,Open,12,,
56aa0ccb-3872-4e79-8374-bb7a8839af81,Elderly Support,"097 Andrew Mission, Jennifermouth, NY 29170",Remote,High,Yes,Self,Yes,Assistance needed for grocery shopping,Family needs a volunteer to remind an elderly person about medications.,Telugu,be8f8bd5-73d7-4024-8370-948547971469,Completed,18,,
686c1f1a-6ad9-4b71-9ada-1b967d841e4c,Housing,"134 Alexis Glens, West Thomasmouth, WV 78806",Remote,Low,No,Others,Yes,Temporary shelter assistance,Person needs temporary shelter after losing housing.,English,c865449d-0ce3-4e74-8d37-7e5011524d96,Completed,10,,
a708b0f7-c83e-4a95-9eb4-345e1774a55e,Elderly Support,"790 Natasha Station Suite 342, New Robertfurt, NJ 03992",InPerson,Low,Yes,Self,No,Companion for elderly person,An elderly resident needs weekly help with groceries.,Telugu,d71f85d4-2916-41e7-a975-f49bf3d84f26,Open,4,,
da16c376-ed48-4a2b-bdd0-1b115be5de94,Elderly Support,"70261 Woodard Way, New Bradley, VT 59856",Remote,High,No,Self,No,Companion for elderly person,An elderly resident needs weekly help with groceries.,Spanish,4f034205-2609-4111-bbd5-74ba37350549,Open,11,,
e9dc9093-1cbd-4a8e-b248-cbbd4e66252b,Education and Career Support,"87201 Gilmore Point, Lake Kendra, HI 54313",InPerson,High,No,Others,Yes,Need tutor for school subjects,Looking for a mentor to guide a student with college applications.,Bengali,53ea771f-d17c-422e-ae79-bc12145cf41f,Assigned,14,,
0a707d7c-0d53-4f91-b004-36a8ecd2e039,Food and Essentials,"36087 Roberts Keys, Port Robertport, SD 95857",InPerson,High,No,Others,Yes,Essential supplies required,A family needs cooked meals delivered daily for two weeks.,Spanish,9fdfad76-7961-4c03-abad-33e7c918ff7f,Open,8,,
0ee780d1-f723-41f7-b4e1-509f03dcb88d,Housing,"060 Melissa Village Suite 001, West Tina, CT 55339",Remote,High,No,Self,No,Temporary shelter assistance,Volunteers needed for packing and moving household items.,Telugu,6da3032b-bd31-4a57-9056-74d41cac7a9d,Open,18,,
9e2b2267-a161-4809-aa49-7ed2a7de455a,Healthcare and Wellbeing,"PSC 8761, Box 2755, APO AA 75645",InPerson,Medium,No,Others,Yes,Support needed for physiotherapy exercises,Individual needs help performing daily physiotherapy exercises.,Telugu,283175e9-6c00-4b99-8917-9c90d871a8c1,Open,21,,
2e1c0bb5-0e3f-4dfc-904b-2ff27e39cdc5,Healthcare and Wellbeing,"6446 Dalton Rue Apt. 468, Buckleytown, AS 51309",InPerson,Low,Yes,Others,No,Support needed for physiotherapy exercises,Volunteer needed to accompany a patient to a medical appointment.,Tamil,be66656a-da49-456d-866a-d2044f1434fe,Assigned,25,,
b4b9bd69-4aa8-4562-b1bb-e205b1c5dba5,Education and Career Support,"606 Mark Roads, East Ryan, IN 98321",InPerson,High,No,Self,No,Mentor required for college application,Student needs academic support in math and science for weekly sessions.,Hindi,f374d8ea-5167-4129-85a4-d009ed4c35f7,Completed,6,,
ad9083ce-c597-4bdf-bdb8-ad0978915537,Clothing Support,"63484 Mercado Underpass Suite 802, Lake Selenachester, GU 90181",InPerson,High,No,Others,Yes,Requesting blankets and jackets,Immediate need for blankets due to cold weather in the area.,Bengali,2679efd6-979b-4e13-ac04-cb63bee3e398,Completed,21,,
8275c2b3-c2ea-4307-a27b-49d55fdfd591,Elderly Support,"PSC 4626, Box 7029, APO AE 26535",Remote,Medium,No,Self,No,Assistance needed for grocery shopping,A senior citizen is looking for someone to talk with daily.,Bengali,d5ec1fb2-c7f1-4971-9d03-c166250fcac2,Assigned,18,,
908c6d26-f67e-4f9e-a1d3-e65f9ce5ad21,Clothing Support,"08951 Jason Motorway Suite 056, Kellyville, FM 51866",InPerson,High,No,Others,Yes,Help required for donated clothes sorting,Looking for volunteers to sort and distribute donated clothes at the community center.,Spanish,13799d43-ed44-4c9c-8243-35cce4c82247,Assigned,7,,
ae4b22c8-7e22-47e0-8d6c-bed563730295,Education and Career Support,"890 Faulkner Squares, West Robertview, ME 74863",Remote,Low,No,Self,No,Help with resume and job search,Student needs academic support in math and science for weekly sessions.,Telugu,0ca581bb-d1c6-4481-8e85-c86cb501c82a,Assigned,22,,
26a20b03-7f1f-4462-b03f-e2028d9bae94,Clothing Support,"0559 Stephanie Ports Suite 114, Murphyton, GA 62933",Remote,Medium,Yes,Self,No,Requesting blankets and jackets,A low-income family needs warm clothing for two adults and one child.,Telugu,fd2ec629-3b95-4611-b3be-84a746d28a36,Completed,23,,
1575cae2-58e1-449b-ae9f-08cac7027bb3,Housing,"67177 Priscilla Stravenue, South Jeffreyborough, VI 91054",Remote,Medium,Yes,Others,No,Support needed for shifting,Family needs help fixing plumbing and electrical issues.,English,3b28c39e-7545-49e3-be12-a3bdc6ffcd26,Completed,11,,
ad578ac4-9041-4c40-91a0-dafc6da718c2,Healthcare and Wellbeing,"55878 Wendy Vista, Jennifertown, NH 44906",InPerson,High,No,Self,No,Support needed for physiotherapy exercises,Individual needs help performing daily physiotherapy exercises.,Hindi,3cd00918-ac7c-499c-98bc-265fbcf0b06b,Assigned,11,,
8aaacb7a-abc7-41d8-8e2a-38b400cd6161,Healthcare and Wellbeing,"142 Dakota Turnpike, Millerbury, CA 67278",InPerson,High,No,Self,Yes,Help required for basic wound dressing,Request for someone to assist with basic wound dressing.,English,34645777-f06c-458f-a393-0b1cc440dd19,Open,7,,
eed2ec2c-c640-4ec7-ad55-079132164fa5,Food and Essentials,"24501 Wilson Lock Suite 972, New Morgan, MA 71588",Remote,Medium,No,Others,No,Essential supplies required,Essential food supplies needed for a financially distressed family.,Bengali,e7ea3b9b-27cf-43e1-b171-14036cdccdf5,Assigned,6,,
beffba0d-936d-4e1b-ac3e-6822fbaa9661,Clothing Support,"USNV Gray, FPO AA 31153",InPerson,High,Yes,Others,Yes,Need winter clothing for family,Immediate need for blankets due to cold weather in the area.,Hindi,9a80c8a0-f306-4a08-90b1-c704db596236,Completed,5,,
83c9c42a-4d3c-4d2a-8fc9-52dd76b764e1,Clothing Support,"15357 Carter Valley, East Elaine, NJ 21827",Remote,Low,Yes,Self,Yes,Requesting blankets and jackets,A low-income family needs warm clothing for two adults and one child.,Hindi,6c83c724-7787-4640-8b5d-d15ac89aaadb,Assigned,17,,
f772b916-91e6-4a6b-b22e-dc66abe7acdc,Food and Essentials,"22771 Schultz Glen, South David, ME 06732",Remote,Medium,No,Self,No,Essential supplies required,Volunteers required to distribute food kits to 20 families.,Hindi,52f39104-33ce-4600-86de-c22e3a788fb3,Assigned,6,,
4aaa4537-96ea-412e-91c0-0127754f38ad,Elderly Support,"69624 Robinson Trail Suite 176, South Scott, GU 57098",InPerson,Medium,Yes,Others,No,Assistance needed for grocery shopping,An elderly resident needs weekly help with groceries.,Tamil,4475dcf4-7d26-4b29-b5de-412bcf9ef911,Open,14,,
919072f4-0dfc-4307-8a19-4d6e0c22b33e,Housing,"41064 Martinez Spur, South Haley, NY 49920",Remote,Low,No,Self,Yes,Help with minor home repairs,Volunteers needed for packing and moving household items.,Bengali,e309d948-16d7-4da4-8b15-7462f7dfadb2,Completed,25,,
9dbc14bc-d386-4b87-bf59-81511800e50c,Food and Essentials,"3139 Wilson Trafficway, Millerborough, AK 92592",InPerson,High,No,Others,Yes,Essential supplies required,Essential food supplies needed for a financially distressed family.,Bengali,aa5bb544-bb8f-4131-bb4d-dd9ce13dec6e,Assigned,10,,
7293b16e-e3f0-4d6b-9fdc-f6c8bf92e8bd,Education and Career Support,"445 Ortiz Passage Suite 636, East Mark, OK 11410",Remote,High,Yes,Self,Yes,Mentor required for college application,A job seeker needs help preparing a resume and practicing interviews.,Bengali,70dd73b6-7016-4775-9efe-51d2015c3526,Open,8,,
766df146-3b17-410c-a926-0c02886d2062,Healthcare and Wellbeing,"835 Richard Fork, South Linda, AZ 56226",Remote,Low,No,Others,No,Help required for basic wound dressing,Individual needs help performing daily physiotherapy exercises.,Spanish,99fe3ee7-8ba0-4980-9388-1e8b6fc3bb2a,Assigned,9,,
54d62543-11eb-4437-82a0-05151907180d,Healthcare and Wellbeing,"006 Sharon Knoll Suite 525, North Neilhaven, CO 64490",InPerson,Low,Yes,Others,Yes,Medical appointment assistance,Volunteer needed to accompany a patient to a medical appointment.,Spanish,a91cb4dc-3371-44fb-b185-ad39dc883217,Open,21,,
704b4280-4ca2-45c4-b1f2-6c8a8d1c6394,Healthcare and Wellbeing,"2309 Parker Street Suite 779, East Zachary, MP 35626",Remote,Medium,Yes,Self,No,Medical appointment assistance,Request for someone to assist with basic wound dressing.,Telugu,4f2714b1-f53c-42fe-99b2-d2fe9b785780,Completed,16,,
e0d605e7-2f1f-4f78-8374-54ed309fbce3,Clothing Support,"58791 Woods Groves Apt. 948, Robynborough, WY 14732",Remote,High,No,Self,No,Need winter clothing for family,Looking for volunteers to sort and distribute donated clothes at the community center.,Bengali,086fdd45-21a3-414a-af6f-aab12428c115,Completed,15,,
88a7a49a-7e59-48dc-b5a9-45de679d7fcb,Clothing Support,"Unit 6011 Box 2854, DPO AP 17093",Remote,High,Yes,Others,Yes,Need winter clothing for family,A low-income family needs warm clothing for two adults and one child.,Hindi,3b3ccc4a-afa2-44e1-8cc8-ef2a7e9b7d32,Completed,18,,
f9832340-35d7-4940-87fc-fba1740d4bca,Housing,"732 Roberts Skyway, Williamshaven, AL 57856",InPerson,Medium,Yes,Others,No,Support needed for shifting,Person needs temporary shelter after losing housing.,Hindi,c82daec2-1f7f-4f87-8972-461d612fad7e,Open,11,,
bd6f0d6c-b759-47dc-9b7a-816afb726514,Housing,"9978 Peggy Inlet, East Lisabury, WY 70440",InPerson,Medium,No,Self,No,Support needed for shifting,Person needs temporary shelter after losing housing.,English,4d027b6c-d851-45ec-bcc0-340a6d60e61b,Open,10,,
69a178da-fd66-488f-b764-022301813acd,Food and Essentials,"2251 Heather Via, Hobbstown, OH 71893",InPerson,Medium,No,Others,No,Help needed with meal delivery,A family needs cooked meals delivered daily for two weeks.,Bengali,659fff03-73a5-4d27-9eb7-2873c641a806,Open,12,,
341a8e0e-49ac-48e0-ac65-ab6faf7cb7dd,Housing,"675 Anna Turnpike Apt. 710, Roachburgh, NE 40093",InPerson,Low,Yes,Others,No,Help with minor home repairs,Family needs help fixing plumbing and electrical issues.,Tamil,30c195d6-64ab-405a-9157-7b2abcc932f4,Completed,20,,
21f13c63-4c29-445a-91f0-74ee87cfa0f2,Education and Career Support,"56575 Lawson Ramp, North Mariahbury, PA 86184",InPerson,Medium,Yes,Self,Yes,Need tutor for school subjects,A job seeker needs help preparing a resume and practicing interviews.,Telugu,355c2871-de5e-4eb7-99a9-c222e835e126,Open,19,,
7de2a854-00ff-41fb-80dd-4009b3640517,Elderly Support,"32116 Schwartz Landing Apt. 411, North Jefferystad, ME 64687",Remote,Medium,Yes,Others,Yes,Medication reminder support needed,Family needs a volunteer to remind an elderly person about medications.,English,ad445f81-5952-4618-80e5-6e9731b40ab8,Completed,23,,
42f1a208-b3cd-40d2-accb-851963185e7b,Elderly Support,"512 Debra Drive, West Damon, GU 58664",Remote,High,No,Others,Yes,Assistance needed for grocery shopping,A senior citizen is looking for someone to talk with daily.,Hindi,1ece866e-a25e-462f-815d-2a48d0cf5ca2,Open,30,,
3e06a4fa-9718-4399-bb03-9c12336c6349,Food and Essentials,"0052 Harding Turnpike Suite 675, Shannonfort, NY 20446",Remote,Medium,Yes,Others,No,Help needed with meal delivery,Volunteers required to distribute food kits to 20 families.,Bengali,2c2d648b-5309-4d42-913b-f9a13fd75023,Assigned,11,,
f535116a-f96a-4689-a2a2-2377474cd9fb,Elderly Support,"58097 Cheryl Viaduct, West Christine, KY 20466",Remote,High,Yes,Others,Yes,Assistance needed for grocery shopping,Family needs a volunteer to remind an elderly person about medications.,English,e6ebac41-0c49-4cff-b798-e9f73240f6b1,Completed,10,,
0aee1f0b-2885-47f6-a61a-d24e8cf626dc,Elderly Support,"34313 Garrett Viaduct Apt. 054, Port Scott, PA 76279",InPerson,Low,Yes,Others,Yes,Medication reminder support needed,An elderly resident needs weekly help with groceries.,Bengali,8da352e3-b439-41d0-b192-8a6477562904,Completed,7,,
00ddd2fc-c8d0-4c12-aacc-9182e3b99226,Elderly Support,"0851 Torres Tunnel Apt. 685, Mollyfurt, IL 41275",Remote,High,No,Others,Yes,Assistance needed for grocery shopping,A senior citizen is looking for someone to talk with daily.,Hindi,540ff2bd-0f64-4393-932f-fa5f9a3c2060,Completed,29,,
40486d77-48cb-4a48-885e-b577d4e31b06,Elderly Support,"25175 Kyle Shores, Whiteborough, AK 75229",Remote,Medium,No,Self,Yes,Medication reminder support needed,A senior citizen is looking for someone to talk with daily.,Hindi,db853a90-6ef6-4638-8a7a-995a9c5c5707,Completed,19,,
7cc439ce-ada7-4d9b-bfca-d77d43b05815,Food and Essentials,"Unit 6357 Box 0541, DPO AE 41516",InPerson,Low,Yes,Self,Yes,Help needed with meal delivery,A family needs cooked meals delivered daily for two weeks.,Telugu,343baa28-0385-4713-8877-ff8b87f3090e,Assigned,20,,
d1479053-2447-4c2a-8bd0-2d85b292eec5,Housing,"010 Samantha Rapid, Heatherfort, WI 64350",InPerson,Low,Yes,Self,Yes,Support needed for shifting,Family needs help fixing plumbing and electrical issues.,Spanish,42b49018-2473-4abb-9e4d-fa6b0a571692,Completed,29,,
17d762ba-c806-4826-adc2-4526d4843800,Elderly Support,"08841 Stephen Isle Suite 327, Jeffreyside, WI 26684",Remote,Low,Yes,Others,No,Companion for elderly person,A senior citizen is looking for someone to talk with daily.,Spanish,cd908ae0-6432-449b-b972-300ce8bf825c,Assigned,19,,
4282e52e-6d86-41b5-88a2-9cc3eae2623b,Healthcare and Wellbeing,"070 Kaitlyn Squares Apt. 537, Kevinfurt, MA 01169",Remote,Medium,Yes,Others,No,Help required for basic wound dressing,Individual needs help performing daily physiotherapy exercises.,Tamil,09573a2b-4fe0-4549-8df3-881b35f75bd4,Completed,17,,
460e56a1-13ab-49ba-a534-358e6c6e158d,Housing,"93742 Brown Wells Apt. 115, Williamsshire, CA 34101",Remote,Low,Yes,Others,No,Temporary shelter assistance,Person needs temporary shelter after losing housing.,English,4d2641a0-bb7b-4a39-8f86-a5224a94026b,Completed,18,,
ff674b62-9ab7-4875-996b-1d07b485b3ef,Housing,"Unit 0785 Box 2881, DPO AP 36938",InPerson,Medium,No,Self,Yes,Temporary shelter assistance,Family needs help fixing plumbing and electrical issues.,Tamil,dd133292-573e-421c-a176-7ca4324f4b4e,Completed,18,,
d99a5f2a-bc34-4469-b001-e442a5029a93,Clothing Support,"5346 Sarah Islands Suite 948, Higginsside, OK 79366",Remote,Low,No,Others,Yes,Requesting blankets and jackets,A low-income family needs warm clothing for two adults and one child.,Hindi,f3e7a2d9-22c2-4abe-8c62-1427a3d22852,Assigned,14,,
